mw,sharded,ratio,rep,latency,weight
1,true,1:1,1,1,0
1,true,1:1,1,2,0
1,true,1:1,1,3,374
1,true,1:1,1,4,3528
1,true,1:1,1,5,5851
1,true,1:1,1,6,5645
1,true,1:1,1,7,4372
1,true,1:1,1,8,2818
1,true,1:1,1,9,1767
1,true,1:1,1,10,1052
1,true,1:1,1,11,724
1,true,1:1,1,12,501
1,true,1:1,1,13,385
1,true,1:1,1,14,303
1,true,1:1,1,15,230
1,true,1:1,1,16,165
1,true,1:1,1,17,135
1,true,1:1,1,18,135
1,true,1:1,1,19,100
1,true,1:1,1,20,92
1,true,1:1,1,21,81
1,true,1:1,1,22,82
1,true,1:1,1,23,81
1,true,1:1,1,24,60
1,true,1:1,1,25,45
1,true,1:1,1,26,57
1,true,1:1,1,27,72
1,true,1:1,1,28,45
1,true,1:1,1,29,45
1,true,1:1,1,30,56
1,true,1:1,1,31,32
1,true,1:1,1,32,34
1,true,1:1,1,33,46
1,true,1:1,1,34,35
1,true,1:1,1,35,42
1,true,1:1,1,36,35
1,true,1:1,1,37,53
1,true,1:1,1,38,28
1,true,1:1,1,39,32
1,true,1:1,1,40,40
1,true,1:1,1,41,45
1,true,1:1,1,42,49
1,true,1:1,1,43,37
1,true,1:1,1,44,36
1,true,1:1,1,45,38
1,true,1:1,1,46,37
1,true,1:1,1,47,49
1,true,1:1,1,48,38
1,true,1:1,1,49,35
1,true,1:1,1,50,28
1,true,1:1,1,51,49
1,true,1:1,1,52,42
1,true,1:1,1,53,33
1,true,1:1,1,54,34
1,true,1:1,1,55,24
1,true,1:1,1,56,30
1,true,1:1,1,57,32
1,true,1:1,1,58,31
1,true,1:1,1,59,34
1,true,1:1,1,60,39
1,true,1:1,1,61,51
1,true,1:1,1,62,56
1,true,1:1,1,63,51
1,true,1:1,1,64,84
1,true,1:1,1,65,117
1,true,1:1,1,66,115
1,true,1:1,1,67,136
1,true,1:1,1,68,163
1,true,1:1,1,69,188
1,true,1:1,1,70,164
1,true,1:1,1,71,204
1,true,1:1,1,72,184
1,true,1:1,1,73,164
1,true,1:1,1,74,121
1,true,1:1,1,75,126
1,true,1:1,1,76,116
1,true,1:1,1,77,101
1,true,1:1,1,78,69
1,true,1:1,1,79,49
1,true,1:1,1,80,32
1,true,1:1,1,81,21
1,true,1:1,1,82,19
1,true,1:1,1,83,17
1,true,1:1,1,84,8
1,true,1:1,1,85,8
1,true,1:1,1,86,10
1,true,1:1,1,87,6
1,true,1:1,1,88,12
1,true,1:1,1,89,9
1,true,1:1,1,90,8
1,true,1:1,1,91,8
1,true,1:1,1,92,5
1,true,1:1,1,93,9
1,true,1:1,1,94,9
1,true,1:1,1,95,6
1,true,1:1,1,96,1
1,true,1:1,1,97,7
1,true,1:1,1,98,4
1,true,1:1,1,99,12
1,true,1:1,1,100,4
2,true,1:1,1,1,0
2,true,1:1,1,2,0
2,true,1:1,1,3,275
2,true,1:1,1,4,2443
2,true,1:1,1,5,4720
2,true,1:1,1,6,5425
2,true,1:1,1,7,4352
2,true,1:1,1,8,2892
2,true,1:1,1,9,1839
2,true,1:1,1,10,1057
2,true,1:1,1,11,603
2,true,1:1,1,12,392
2,true,1:1,1,13,282
2,true,1:1,1,14,200
2,true,1:1,1,15,160
2,true,1:1,1,16,122
2,true,1:1,1,17,86
2,true,1:1,1,18,82
2,true,1:1,1,19,81
2,true,1:1,1,20,73
2,true,1:1,1,21,75
2,true,1:1,1,22,58
2,true,1:1,1,23,65
2,true,1:1,1,24,48
2,true,1:1,1,25,47
2,true,1:1,1,26,57
2,true,1:1,1,27,45
2,true,1:1,1,28,41
2,true,1:1,1,29,46
2,true,1:1,1,30,37
2,true,1:1,1,31,40
2,true,1:1,1,32,52
2,true,1:1,1,33,38
2,true,1:1,1,34,36
2,true,1:1,1,35,41
2,true,1:1,1,36,34
2,true,1:1,1,37,35
2,true,1:1,1,38,29
2,true,1:1,1,39,40
2,true,1:1,1,40,35
2,true,1:1,1,41,42
2,true,1:1,1,42,40
2,true,1:1,1,43,38
2,true,1:1,1,44,33
2,true,1:1,1,45,42
2,true,1:1,1,46,50
2,true,1:1,1,47,44
2,true,1:1,1,48,47
2,true,1:1,1,49,43
2,true,1:1,1,50,50
2,true,1:1,1,51,30
2,true,1:1,1,52,32
2,true,1:1,1,53,39
2,true,1:1,1,54,36
2,true,1:1,1,55,44
2,true,1:1,1,56,47
2,true,1:1,1,57,31
2,true,1:1,1,58,48
2,true,1:1,1,59,36
2,true,1:1,1,60,50
2,true,1:1,1,61,44
2,true,1:1,1,62,44
2,true,1:1,1,63,74
2,true,1:1,1,64,88
2,true,1:1,1,65,100
2,true,1:1,1,66,132
2,true,1:1,1,67,121
2,true,1:1,1,68,160
2,true,1:1,1,69,186
2,true,1:1,1,70,157
2,true,1:1,1,71,173
2,true,1:1,1,72,160
2,true,1:1,1,73,150
2,true,1:1,1,74,163
2,true,1:1,1,75,135
2,true,1:1,1,76,101
2,true,1:1,1,77,94
2,true,1:1,1,78,41
2,true,1:1,1,79,53
2,true,1:1,1,80,29
2,true,1:1,1,81,33
2,true,1:1,1,82,19
2,true,1:1,1,83,13
2,true,1:1,1,84,14
2,true,1:1,1,85,7
2,true,1:1,1,86,4
2,true,1:1,1,87,7
2,true,1:1,1,88,10
2,true,1:1,1,89,3
2,true,1:1,1,90,6
2,true,1:1,1,91,7
2,true,1:1,1,92,7
2,true,1:1,1,93,11
2,true,1:1,1,94,16
2,true,1:1,1,95,26
2,true,1:1,1,96,15
2,true,1:1,1,97,7
2,true,1:1,1,98,9
2,true,1:1,1,99,21
2,true,1:1,1,100,29
